Ht,theta
0.0,0.07305422219355535
0.0,0.07239071454917459
0.0,0.07263997412732633
0.0,0.07243716711012843
0.0,0.072541890311704
0.05,0.046982329698040656
0.05,0.04856211084133256
0.05,0.0547614699756772
0.05,0.05638596007275596
0.05,0.049404940557338045
0.1,0.038934401577217004
0.1,0.04706896558629452
0.1,0.04115626657204724
0.1,0.042974376222995846
0.1,0.04126108696351841
0.15,0.03827804956596378
0.15,0.035900622064214745
0.15,0.03757215884369218
0.15,0.039081872740928406
0.15,0.03319069012938035
0.2,0.03174409824087535
0.2,0.033340961370309515
0.2,0.03352036847026718
0.2,0.030286377543238818
0.2,0.02949203291041106
0.25,0.029935322947576302
0.25,0.03119210213395634
0.25,0.03032958925459946
0.25,0.028308549390401547
0.25,0.02983864977471101
0.3,0.02829174625467195
0.3,0.028860258669397048
0.3,0.028752291335088023
0.3,0.027616229240721175
0.3,0.027748769211751702
0.35,0.027244169855636772
0.35,0.028085438652571362
0.35,0.02666163356792928
0.35,0.030559570794121364
0.35,0.032676493993793375
0.4,0.026485740757630487
0.4,0.028163788537719947
0.4,0.027320150628658512
0.4,0.028750835387560854
0.4,0.026700903548799174
0.45,0.027098927334613485
0.45,0.028744535667303624
0.45,0.02742608440641512
0.45,0.02980876606670622
0.45,0.028123263350611608
