objId,time,fx,fy,fz,Tx,Ty,Tz
0,1.999687,4756.220215,-2140.544189,-179377.656250,2518.589355,-2857.359375,-14274.834961
0,3.999687,4089.119141,-1361.742798,-179477.656250,11194.129883,28354.337891,-7209.104980
0,5.999687,758.121826,132.760437,-176393.843750,16986.591797,9668.317383,-3170.288086
0,7.999687,3066.734619,-1419.977173,-171245.593750,15876.878906,1272.473389,-7428.160645
0,9.999687,4432.679199,1204.453613,-166757.265625,7062.734375,2267.568848,10622.276367
0,11.999687,3332.882080,-2635.694092,-160093.015625,8123.926270,-15078.808594,-11928.764648
0,13.999687,2858.115723,-538.738342,-155089.703125,11106.861328,-4352.518555,-18135.255859
0,15.999687,3462.742920,-698.909973,-151681.953125,15614.798828,-4126.973145,-7162.594238
0,17.999687,5329.818359,-579.082520,-144730.546875,5897.395508,-10915.889648,-3859.604004
0,19.999687,2430.297119,-2533.428955,-141151.656250,14050.772461,1690.870483,-8502.533203
0,21.999687,-622.529053,-909.348145,-137445.671875,14707.955078,-11722.545898,-17605.105469
0,23.999687,3652.458496,-1809.609497,-128646.312500,12303.276367,-14412.581055,-12521.754883
0,25.999687,3426.747559,-1222.405518,-125096.617188,10896.832031,-571.631348,-11712.030273
0,27.999687,-3880.326172,-2204.545898,-114649.078125,13096.937500,-11115.156250,-20673.912109
0,29.999687,3553.198486,1780.238159,-109301.820312,2089.929932,9536.488281,-16800.261719
0,31.999687,-3214.085205,-381.349335,-102216.796875,11913.787109,63.818100,-14286.222656
0,33.999687,3243.642578,-532.089355,-101095.062500,6359.905762,2205.205322,1270.858276
0,35.999687,290.019226,291.767120,-96469.453125,13192.116211,8497.721680,-17650.525391
0,37.999687,198.402542,-1355.131836,-93590.218750,6812.826660,1473.618164,-3666.305908
0,39.999687,730.915527,1502.385132,-91390.476562,6099.642090,-5072.303223,8258.932617
