objId,time,fx,fy,fz,Tx,Ty,Tz
0,1.999687,-786.055908,-134399.687500,-2530.133057,5186.193359,3385.627930,3072.809082
0,3.999687,1782.383789,-141302.343750,-1034.344238,1829.898315,-25347.654297,2458.609131
0,5.999687,-668.721863,-137490.234375,-555.497986,2335.292236,-17690.855469,-14489.072266
0,7.999687,2010.808472,-134279.687500,1331.049561,3557.323975,-36071.828125,-21310.689453
0,9.999687,2343.114502,-129351.750000,412.877197,546.185059,-28770.292969,-25402.818359
0,11.999687,-886.317444,-125683.101562,916.163330,1999.959961,-31675.820312,-7881.904785
0,13.999687,736.690063,-125125.843750,-1473.219116,-2900.924072,-18894.574219,-13337.940430
0,15.999687,951.390076,-121185.578125,62.797539,-4133.669922,-16615.732422,-12508.958984
0,17.999687,301.840240,-115571.742188,-398.366730,-2203.099121,-30420.863281,-25348.925781
0,19.999687,-1088.322998,-115649.820312,1003.917908,2932.997070,-31591.960938,-5838.919922
0,21.999687,1191.706421,-113591.773438,-884.413574,-1162.474487,-13137.821289,-14155.121094
0,23.999687,-124.907379,-105964.929688,-246.734238,6933.772949,-36962.332031,-13920.417969
0,25.999687,2017.659546,-101817.843750,787.529053,5113.144043,-13481.093750,657.707764
0,27.999687,-312.044830,-98859.382812,1093.206421,2505.367188,-30709.318359,-8868.468750
0,29.999687,236.738907,-98311.476562,963.152100,2720.730957,-26443.572266,2883.711914
0,31.999687,869.356262,-93356.976562,452.708557,-2616.635254,-12540.769531,-14542.013672
0,33.999687,257.572144,-90232.351562,1193.889404,1514.579590,-15500.165039,-3065.146240
0,35.999687,2441.694092,-86365.328125,531.185303,3532.995850,-11335.866211,6998.926758
0,37.999687,-2214.185303,-86833.851562,25.438292,8316.035156,-17347.490234,19492.873047
0,39.999687,3422.089600,-87303.070312,-66.977386,-782.584839,-7354.198730,5271.310547
