Ht,theta
0.0,0.03492436749801216
0.0,0.03480682997566242
0.0,0.034780521965657174
0.0,0.03500265490436244
0.0,0.034858867793051626
0.05,0.024346613344795025
0.05,0.02386862706120926
0.05,0.025164688949120398
0.05,0.028801805603289467
0.05,0.02596578927792279
0.1,0.023627837365316002
0.1,0.022145175148173272
0.1,0.02257068306408625
0.1,0.02405650031904584
0.1,0.022260912198373537
0.15,0.021393782609648488
0.15,0.0197346542425316
0.15,0.020014167131944764
0.15,0.019426537934622394
0.15,0.020540448547853946
0.2,0.021325177792512008
0.2,0.0186945252825003
0.2,0.020174316871597948
0.2,0.018790234990708542
0.2,0.018682153133903028
0.25,0.018388917572388103
0.25,0.01826702028218408
0.25,0.017255725244615543
0.25,0.017169428929244057
0.25,0.017790756330238185
0.3,0.018359834533437605
0.3,0.017483076297647903
0.3,0.02086272032188061
0.3,0.01838914397451862
0.3,0.019505120178077814
0.35,0.017633295794314337
0.35,0.014731639694477489
0.35,0.017675583955298498
0.35,0.017214542555671154
0.35,0.01583487530405042
0.4,0.018927126270035868
0.4,0.01898935035564795
0.4,0.017259499919746627
0.4,0.017646419503579716
0.4,0.017416340109068625
0.45,0.01765916048193876
0.45,0.018333971543809988
0.45,0.01826489745707108
0.45,0.019952362660342983
0.45,0.01833484327251753
