a,vdimless,vdim
0.01,0.04111504735161843,3878.381028465862
0.01,0.04239906732005726,3999.502588734926
0.01,0.041540550979242766,3918.518771292921
0.01,0.04218921053489287,3979.7068052759937
0.01,0.04193918735243112,3956.1221269161833
0.025,0.04163876797973322,3927.783577632977
0.025,0.04274384732888669,4032.0256753266217
0.025,0.04169382654957398,3932.977250667054
0.025,0.042585504087414634,4017.089162704879
0.025,0.042304211103369876,3990.5548050175394
0.05,0.04262804654057702,4021.10219087528
0.05,0.04350136077640087,4103.481893253879
0.05,0.04214822628870215,3975.8407627166184
0.05,0.043606942366426406,4113.441401076122
0.05,0.04292572374064394,4049.182071106791
0.0,0.04114926234467611,3881.6085276057547
0.0,0.042279025763223406,3988.1790727318835
0.0,0.04149610408456787,3914.326097218948
0.0,0.04205209772792684,3966.7729588243774
0.0,0.04194576111947534,3956.742230139507
0.1,0.05269735768443734,4970.93997109446
0.1,0.044767543681697816,4222.920883959023
0.1,0.04699993598073606,4433.502374152597
0.1,0.04530703068203366,4273.810674485413
0.1,0.04506593609854762,4251.0682305655155
0.2,0.05296529088378231,4996.21410074215
0.2,0.05216201728475726,4920.441329267922
0.2,0.05886298226808613,5552.543129893325
0.2,0.05516490836707865,5203.703943673402
0.2,0.049838763646945235,4701.288892055666
0.4,0.05935719440980327,5599.162144534877
0.4,0.06034804404730581,5692.628957385353
0.4,0.06310366471284072,5952.566561724227
0.4,0.06264470979533672,5909.273359852271
0.4,0.06314850240275789,5956.79609950021
0.8,0.06565776546659735,6193.494799589193
0.8,0.06501481603502761,6132.845401417824
0.8,0.06561784381172407,6189.728991232914
0.8,0.06290557847645384,5933.881093734056
0.8,0.06590935728637633,6217.227447454175
12.8,0.0540257147851456,5096.243851553496
12.8,0.05439721577264943,5131.287527161338
12.8,0.055627277956945546,5247.319251474058
12.8,0.05882288660133249,5548.760907002248
12.8,0.05330670853854444,5028.420016588203
1.6,0.06595581135546455,6221.609458222786
1.6,0.06828513256904663,6441.334249652565
1.6,0.06675656871711973,6297.144873110872
1.6,0.06868468737320942,6479.024240838635
1.6,0.0685599999859196,6467.2624838055435
25.6,0.05459468179060985,5149.914489968284
25.6,0.05586359433829482,5269.610967747726
25.6,0.05368121467201393,5063.74716751352
25.6,0.056902936143328156,5367.652045124086
25.6,0.055639642367234815,5248.485585879171
3.2,0.06368544770389135,6007.446131626659
3.2,0.06713279049301119,6332.633860527927
3.2,0.06333981251936995,5974.842376340813
3.2,0.06685535698979839,6306.463567537154
3.2,0.06742079309079461,6359.801135852692
6.4,0.06379724145666273,6017.991632550966
6.4,0.060951653187388995,5749.567387189084
6.4,0.06087856089034705,5742.672593277013
6.4,0.06510960314631524,6141.786666425185
6.4,0.06457447176664483,6091.307741449102
