objId,time,fx,fy,fz,Tx,Ty,Tz
0,1.999687,350.254272,-183926.843750,643.657715,-941.989014,-29334.679688,-25866.492188
0,3.999687,1317.847290,-176624.781250,-110.309532,-4867.070801,-4996.307617,7670.376465
0,5.999687,-1100.518799,-173540.015625,1583.061279,1159.243164,-13939.811523,1287.713257
0,7.999687,1148.577515,-166986.625000,1337.552490,1024.405151,-10018.880859,-8813.045898
0,9.999687,-1527.910767,-159215.593750,2612.223389,1710.916138,-15238.289062,-8735.307617
0,11.999687,377.799194,-153814.281250,2016.314087,2468.154297,-18145.044922,817.596741
0,13.999687,1562.880981,-150737.390625,733.054993,455.435699,-7569.548828,7739.230469
0,15.999687,-263.297302,-145194.046875,2097.415527,2850.760742,-18994.054688,-13908.313477
0,17.999687,745.387634,-137751.625000,427.916595,1475.192627,-6281.695801,2005.562012
0,19.999687,-1289.961670,-136503.953125,65.683395,1758.928223,-13980.737305,-13963.308594
0,21.999687,-1784.001465,-133847.515625,-395.166473,3539.378174,-515.684998,-4858.345215
0,23.999687,-1317.190918,-124144.531250,503.344177,3372.657471,-17795.906250,7410.625000
0,25.999687,1373.660034,-119080.601562,1565.144531,1049.863281,-10839.497070,-655.325562
0,27.999687,1742.149048,-111614.882812,2303.217041,262.978424,-35705.789062,2734.766846
0,29.999687,2715.022461,-112983.023438,121.930534,-467.780121,-20681.503906,20107.556641
0,31.999687,-2657.190430,-104350.148438,967.310852,5854.720703,-24930.363281,-7610.892090
0,33.999687,-17.747730,-102995.421875,1080.440674,-1088.238892,-32789.585938,9265.916016
0,35.999687,1395.203125,-97816.523438,-8.782870,2376.786865,-17880.667969,23545.492188
0,37.999687,-1681.725952,-96006.281250,1894.210449,-1906.496460,-16369.079102,-2815.900635
0,39.999687,458.623352,-94480.492188,208.672363,4592.476562,-20554.693359,9021.507812
