P,vdimless,vdim
2.5,0.009286001649552518,877.1994172084559
2.5,0.008423739157691517,795.7460442836698
2.5,0.010816014257065711,1021.7316085953528
2.5,0.013782943616847485,1302.001718758928
2.5,0.008454782992241585,798.6785909924621
2.0,0.007872595844529826,743.7714932954066
2.0,0.0066721666052757846,630.3597209260896
2.0,0.009132585179123067,862.8102662025493
2.0,0.009172697992850122,866.5999650458834
2.0,0.007352340015083928,694.6197950748656
3.5,0.011775015016635425,1113.1401172251853
3.5,0.010216157972133313,965.7750131634998
3.5,0.01273074142653045,1203.4888264576375
3.5,0.016078607709400814,1519.9762586438094
3.5,0.012399447325278071,1172.1702460411293
3.0,0.011132489881037015,1053.1356515349096
3.0,0.00892341011976627,844.1562876604072
3.0,0.011803887421494413,1116.6499860426786
3.0,0.015401247704655216,1456.9609502651272
3.0,0.009959055533050138,942.1285399357671
4.5,0.011423121201699462,1078.3828310706651
4.5,0.009682655067811607,914.0767046010128
4.5,0.013741819630762852,1297.276120582509
4.5,0.01563481168627997,1475.9812306814129
4.5,0.012462941440497357,1176.5455199820483
4.0,0.011910815043355723,1123.546780881872
4.0,0.009583744386132999,904.0342843574839
4.0,0.012890761272414213,1215.9850755819634
4.0,0.01580026706973807,1490.438659206697
4.0,0.010520531961436999,992.4014247061268
5.0,0.010630341173269529,1003.5822150026307
5.0,0.009371793401864186,884.7660698266311
5.0,0.013063595921849185,1233.2993191333699
5.0,0.01560243387675062,1472.984252738288
5.0,0.012649650752876607,1194.219857543581
