Ht,vdimless,vdim
0.0,0.0019605138400012635,226.29655765835173
0.0,0.002010306920591385,232.04403186783867
0.0,0.001977556672237068,228.26376349440386
0.0,0.002031267021665293,234.4633969467373
0.0,0.001962864201304126,226.5678532040597
0.0,0.002026260296341468,233.88548482859494
0.0,0.0019833323831148927,228.93043743621124
0.0,0.0019476769174653174,224.81482806198755
0.0,0.0019793275815843774,228.4681745426935
0.0,0.001937608487605904,223.65265773106634
0.05,0.001296286608513755,149.62669034006572
0.05,0.0009587708166514884,110.66819879801446
0.05,0.0005711439441036772,65.92552719647871
0.05,0.0008948613020563668,103.29130460864069
0.05,0.0014834554785313802,171.23106268449393
0.05,0.0013887156606977463,160.29551394645654
0.05,0.0011339918053676747,130.8934610567804
0.05,0.000930270508475499,107.37848897764184
0.05,0.0011122889064983255,128.38835693298708
0.05,0.0016019825913174675,184.91231148029811
0.1,0.0008249144238945064,95.21753464894125
0.1,0.0011642547920460823,134.38663186233808
0.1,0.0009245628218655454,106.71966688433578
0.1,0.000425591714668852,49.12484575850511
0.1,0.0008815796083810003,101.75823633986161
0.1,0.0011053557340893142,127.5880804861704
0.1,0.0005841545683191688,67.42730668554891
0.1,0.00115734548677993,133.58911033219678
0.1,0.0004189149899004299,48.35417033622643
0.1,0.00030739374445351824,35.48158895705495
0.15,0.004331737200767303,500.0001515998651
0.15,0.0008884495066772206,102.55120923511882
0.15,0.0006265600521582936,72.32205153398345
0.15,4.8375578581267196e-05,5.583855968935574
0.15,0.003418067233941614,394.537816109114
0.15,0.003087784099456348,356.4141697151778
0.15,0.0007291757004301478,84.1666850642348
0.15,0.0006146714075117451,70.94977896755486
0.15,0.0008067550255400443,93.12144674947564
0.15,0.003941874207622292,454.9993709335879
0.2,0.007367078883057623,850.3610416911929
0.2,0.003936486478443712,454.3774806200222
0.2,3.86479180391804e-05,4.461019674782302
0.2,0.0005098914364661956,58.85532379189828
0.2,0.006463444396928343,746.0570733028352
0.2,0.006456326879150809,745.2355183924515
0.2,0.0013333298020622806,153.90248121369606
0.2,0.0035190122733209186,406.18961598837853
0.2,0.005978805280935759,690.1165533136277
0.2,0.005936569066859109,685.2413467942689
0.25,0.0072331682344024,834.9041149375136
0.25,0.005950023659458594,686.7943722959697
0.25,0.00782737749000605,903.4920056874973
0.25,0.005430930569158863,626.8769276739059
0.25,0.006295893281776412,726.7171228178768
0.25,0.007411028188259216,855.4339854652548
0.25,0.006507740397131015,751.1700350985508
0.25,0.006751888451036142,779.3513531950761
0.25,0.006483131281720718,748.32947463387
0.25,0.007093332543843786,818.7632773848583
0.3,0.007050076226958721,813.7703232886695
0.3,0.005930114174569183,684.496276866446
0.3,0.007414110877668755,855.7898115693482
0.3,0.005174582596848962,597.287407562999
0.3,0.006570127468273271,758.3711979538307
0.3,0.006726454032645392,776.4155303457636
0.3,0.00822280837086895,949.1354718570736
0.3,0.008276373813927207,955.3183791776976
0.3,0.008591541673627622,991.6973122306304
0.3,0.007343239037366753,847.6092758505871
0.35,0.0078478921556328,905.8599554148211
0.35,0.006307917217982545,728.1050117056948
0.35,0.007594753784467978,876.6409104700507
0.35,0.005897461293405287,680.7272473119226
0.35,0.007299689359759926,842.5824599574896
0.35,0.006651801093795736,767.7985531349597
0.35,0.0076835658691254876,886.8922377631259
0.35,0.007240441727678271,835.7436736577314
0.35,0.007940493721435033,916.548691779368
0.35,0.007525835519906914,868.6858704638316
0.4,0.006483904260578016,748.4186973932201
0.4,0.006911573475192707,797.7833430841137
0.4,0.006869020613651244,792.8715868450761
0.4,0.006993497755356838,807.2396306203287
0.4,0.007880916350276325,909.6718446322237
0.4,0.007802100436370497,900.5743470060021
0.4,0.006779714942239851,782.5632862315222
0.4,0.008369963034326171,966.1211177139379
0.4,0.008270963080567436,954.6938335566766
0.4,0.008263470360440686,953.8289701022162
0.45,0.008157869975140761,941.6398168337277
0.45,0.007383448732245937,852.2505670008941
0.45,0.008046113922659779,928.7401323439124
0.45,0.006442681588413475,743.6604811450203
0.45,0.005137179744817738,592.9701023297621
0.45,0.00711477012873743,821.237757068173
0.45,0.008197809115390359,946.2498786297273
0.45,0.007873153928515482,908.7758502823089
0.45,0.009583114167601875,1106.1517157021894
0.45,0.0072407957358772805,835.784535821101
