Ht,vdimless,vdim
0.0,0.007876006309289479,90.91050925131549
0.0,0.0078019462240734635,90.05565467174988
0.0,0.008056737942153757,92.99664328121517
0.0,0.008068593428213028,93.13348779768019
0.0,0.00790802740496529,91.2801196858881
0.0,0.00783567485385293,90.4449746886706
0.0,0.0076509203656855,88.31240597983694
0.0,0.008010867352204052,92.46717205833566
0.0,0.007918546558966,91.40153930003565
0.0,0.008026874562390941,92.65193875006197
0.05,0.00891831543323396,102.94158814257067
0.05,0.00820655654859983,94.72595700602393
0.05,0.007037856107612501,81.23597895368539
0.05,0.008466764176958103,97.72945993329137
0.05,0.007341372854941369,84.7393867700841
0.05,0.009361313166912022,108.05498546404696
0.05,0.00868051973241039,100.19677974467155
0.05,0.008586900833663319,99.11616332228432
0.05,0.009031788557024582,104.25137625916673
0.05,0.008260894370715878,95.35316309070558
0.1,0.008493496415640603,98.03802259012765
0.1,0.010134570421134295,116.98047485588602
0.1,0.006870025342056707,79.2987559798135
0.1,0.006765864715278667,78.09645937764357
0.1,0.009401221135867775,108.5156318422341
0.1,0.008467104632830888,97.73338971896662
0.1,0.008355027822349747,96.4397188512724
0.1,0.00739938217513843,85.40897191683764
0.1,0.009579626346512863,110.57491263962294
0.1,0.009237815506387947,106.62948696027512
0.15,0.008956420115638068,103.38141969503289
0.15,0.009608352768289622,110.90649358688715
0.15,0.006613490399721278,76.33764582669397
0.15,0.0065124882152917925,75.17180622964467
0.15,0.010341263446714646,119.36627388604197
0.15,0.012581083358958176,145.21988050557061
0.15,0.0073823289100767705,85.2121309100796
0.15,0.0103762087295157,119.76963738406607
0.15,0.00837786667212845,96.70334122313963
0.15,0.009319391541131122,107.57109601567392
0.2,0.009124419322728694,105.32058694181534
0.2,0.011977458816505904,138.25241344219307
0.2,0.005753838341267123,66.4149256885915
0.2,0.008014789076270023,92.51243940805325
0.2,0.012245326884491056,141.3443386535751
0.2,0.01073989818401306,123.96760171005845
0.2,0.009080525883015517,104.81393740391309
0.2,0.008377258483654572,96.69632107590893
0.2,0.007044815642525484,81.31631089328087
0.2,0.011041676117248482,127.4509388880497
0.25,0.011053517950091274,127.58762580930541
0.25,0.013621918495889156,157.23394558236643
0.25,0.009515616502747126,109.83606514949625
0.25,0.006235842874958185,71.9785674504847
0.25,0.012463236060309338,143.85960252795888
0.25,0.013236258788763198,152.78238485530335
0.25,0.00930723372622203,107.43076180295685
0.25,0.0098295920597625,113.46019604272155
0.25,0.00907461633861767,104.7457252073309
0.25,0.009802350107280606,113.14574990392043
0.3,0.007081519678188058,81.73997517726292
0.3,0.010487086351435403,121.04946635797205
0.3,0.007431601405029663,85.78086935851978
0.3,0.006442680487852557,74.3660354110392
0.3,0.013247670042128176,152.9141017196464
0.3,0.013562135370795866,156.54388590828316
0.3,0.011130961821322767,128.4815384720904
0.3,0.010997543355648438,126.94152692541648
0.3,0.00988474487800955,114.09680939682343
0.3,0.012186491040919654,140.66521318169754
0.35,0.007482759005630831,86.37136704733474
0.35,0.004158617891087965,48.00174801974539
0.35,0.006418391395584946,74.08567330103222
0.35,0.0075678103394649756,87.35309049545415
0.35,0.01772045886935378,204.54223583846695
0.35,0.011692756431205308,134.9661744758512
0.35,0.015845712453935512,182.90256915336897
0.35,0.00863261863288979,99.64387092513702
0.35,0.0132542315256981,152.9898390653723
0.35,0.014436076045891684,166.63153549976332
0.4,0.012564589557219744,145.02949722543505
0.4,0.004422615764095018,51.04900066707098
0.4,0.00756763609884503,87.35107928534721
0.4,0.008320674591024146,96.04318923567838
0.4,0.026079681138459692,301.03037000019697
0.4,0.01638238537089894,189.09723257371044
0.4,0.017756871308885334,204.96253431092907
0.4,0.012300041329629722,141.97589199109498
0.4,0.016174776222889084,186.70085900192362
0.4,0.016546891129134926,190.99607593019277
0.45,0.020362912735629526,235.04333210763784
0.45,0.014470051036948607,167.02369919510608
0.45,0.008612969532918924,99.41706693152233
0.45,0.00682073651649675,78.72982903180308
0.45,0.02850563230826425,329.0324369875777
0.45,0.017112588705945772,197.52576277534573
0.45,0.018650584908870876,215.27841717197794
0.45,0.019456160020574896,224.57694243583143
0.45,0.022934096455879887,264.72177727482295
0.45,0.021522295534696177,248.42575925933386
