time,x_ABF_0,x_CTC_0,x_ABF_1,x_CTC_1,x_ABF_2,x_CTC_2,x_ABF_3,x_CTC_3,x_ABF_4,x_CTC_4
0.0,1.6666321634059929,4.995530686650812,1.6666321634059929,4.995529796760154,1.6666321634059929,4.995530686650812,1.6666321634059929,4.995529796760154,1.6666321634059929,4.995529796760154
0.6282833294169274,1.6327157607652627,5.03166870131874,1.6383879238180796,5.032867828980125,1.6565817383168002,5.031775043252346,1.640816435423216,5.032039340777714,1.6360573001853016,5.031901407725755
1.2565666588338549,1.6927135237501232,5.068662790799471,1.6893675348767951,5.070959598587253,1.7125482966218266,5.067607380479321,1.696140047727982,5.068196043149454,1.6946913057370834,5.0678890308725135
1.8848499882507825,1.741378084262572,5.104293567792452,1.7278424024121057,5.108115203222375,1.7547255542389137,5.102289978976415,1.738459242904988,5.103419695166493,1.740167832967964,5.1027068927495955
2.5131333176677098,1.7722626294321777,5.140216673866522,1.7508300578843945,5.1458995156072325,1.7793924333824709,5.138169480408252,1.765641842938146,5.139694308050393,1.771740263616049,5.138305188733567
3.1414166470846374,1.7944080033968586,5.176641678271589,1.7691720391776382,5.1840388943645515,1.7985197431812234,5.174072563942522,1.7872265857884129,5.175996507544685,1.799820318377598,5.174118393311399
3.769700945797876,1.8179647439448103,5.212491368366391,1.7967524203348326,5.22177871221652,1.8237561523457726,5.210139832303154,1.8202317403955557,5.212191920160041,1.830957592494019,5.210198120141239
4.397984275214803,1.856175313954754,5.248713032756151,1.8353185016625675,5.259106955639255,1.864469984776108,5.246070057502485,1.865074665478083,5.247778202620132,1.8722431796719903,5.245735903560481
5.0262666353354195,1.9035250610203038,5.2843776255941295,1.8788359346103014,5.2959172826991505,1.9134722587931916,5.280845649573321,1.9108097059450542,5.283302192734178,1.918840969131699,5.281103717864083
5.654550934048658,1.9506171847404201,5.319574135946105,1.9197446530946947,5.33245085376447,1.9577549977066333,5.315411227448917,1.9528890755897834,5.318608159637063,1.963945967012948,5.315842824417949
6.282833294169275,1.9979028596786077,5.35498911445457,1.9597674854292482,5.369256286425748,1.9961586739893196,5.350314963774475,1.9932545158275898,5.3540427157399995,2.0072907611730684,5.350955685048091
6.911117592882513,2.093052193537224,5.389664593826403,2.027321754934817,5.405165154249293,2.070825394577355,5.38422157761797,2.0692520678943644,5.388798285271035,2.0899691673532765,5.385499905547899
7.53940092229944,2.137230370298375,5.425353213712142,2.06394698473789,5.442104960399897,2.1049179955683295,5.419979164029688,2.1081482986561433,5.424647085475178,2.1308382857033976,5.421327793321584
8.167684251716368,2.1811527034954077,5.461116584413136,2.1021535502398736,5.478977134860511,2.143774181250507,5.455722512190881,2.1497573610882252,5.4598578340776776,2.1740175602011673,5.457090719077248
8.795967581133295,2.2270817401257794,5.496636570019222,2.142031330397206,5.5162648882583145,2.187284940018307,5.49115617840316,2.1932396433549757,5.495513972954407,2.2186825071521343,5.492921276522907
9.424250910550224,2.276018162234186,5.532121404944324,2.183143833842235,5.553223827058064,2.2344856303986753,5.526061249564707,2.237346183918173,5.530908928923072,2.2632046266525245,5.528128910508104
10.05253423996715,2.325326113692225,5.567807355158089,2.223422064795577,5.590148950012815,2.282058295074003,5.56136766141292,2.280276733977088,5.566256275741544,2.3069302940141836,5.563895395826401
10.680817569384079,2.3717472598563596,5.602874386419355,2.262872252491836,5.627066953842305,2.3285644257959586,5.596088525208301,2.323286039359218,5.601291270939129,2.35030934896463,5.5996080427598995
11.309101868097317,2.415985504236912,5.637961440220421,2.3018939578363646,5.663716655638466,2.3727857622540123,5.63061227822298,2.36664640660585,5.636426378835716,2.393348910629125,5.63519477016532
11.937385197514244,2.4594272964787325,5.673154835955093,2.340891191187804,5.700562578324674,2.416041567348353,5.665186310059823,2.409354928945644,5.671298079097594,2.437098605038545,5.670487388708337
12.56566755763486,2.503519598791405,5.70776891287154,2.3812334942685074,5.737104603351243,2.459281799356182,5.699972580818554,2.452271240754034,5.70687056825249,2.4815410793250616,5.705624276386241
13.193951856348098,2.532869972466963,5.743063311195873,2.4164193259325892,5.773372097109881,2.4923256642069394,5.734883881214704,2.493016664302721,5.741482420442291,2.518016807497624,5.740792310237166
13.822235185765026,2.5781324809946433,5.778253592313243,2.4579367296269172,5.809624907672665,2.5365647984781488,5.769663032848171,2.536971923454092,5.776534323562374,2.563669978024078,5.776308291335292
14.450518515181955,2.6200716928607686,5.812888581660147,2.497079460100907,5.845551573309365,2.5784991159456565,5.803878438749923,2.5780942156963573,5.811726384461059,2.605481045635481,5.811403799097606
15.07880184459888,2.6566043740354304,5.847420343690745,2.534146965560906,5.8812789034387185,2.614891639341715,5.837984833046091,2.6167452815819128,5.846301751133891,2.643449565386503,5.846423666154008
15.7070842047195,2.6890404435669106,5.882536318938189,2.5689225576317427,5.917606019871428,2.6469272580771848,5.872478774723734,2.6541785321022684,5.881441308483766,2.6783684298532444,5.88205444314699
16.335368503432736,2.719948125893619,5.916630254765151,2.6025795571457233,5.953165160666457,2.6776324902792434,5.906604301669047,2.692319245695575,5.916426469804515,2.713184511949011,5.917222921943245
16.963650863553354,2.7537715349606087,5.950949777873863,2.6373925246241874,5.988967241611065,2.7127751622464227,5.9406501834004874,2.7321156008577177,5.950834092088349,2.749908964560428,5.952086613189203
17.59193516226659,2.792474659449645,5.985229700848305,2.674132550322117,6.024875664489281,2.7514876305873655,5.9748433420357925,2.7734821680855495,5.985193660276665,2.790211222561531,5.987183010842176
