Ht,vdimless,vdim
0.0,0.00796841512127365,916.2606749796769
0.0,0.00796860790817518,916.2828428830596
0.0,0.007975833646022583,917.1137056501879
0.0,0.007963593252173485,915.7062248199976
0.0,0.007964085075370653,915.7627778795144
0.05,0.008187872896786833,941.4953705196235
0.05,0.00811918338498076,933.5969995771471
0.05,0.008681061897167714,998.2054790548964
0.05,0.008736251798905848,1004.5515762208987
0.05,0.00876803110682702,1008.2057696436914
0.1,0.009223072235341611,1060.5293854707809
0.1,0.009352399463435468,1075.4002790553996
0.1,0.00938490051431897,1079.1374632214906
0.1,0.00807934883912625,929.0165620225422
0.1,0.008631136150686695,992.4646890140467
0.15,0.009129200377603487,1049.7353830971972
0.15,0.009221068153906569,1060.298943032675
0.15,0.008617041868468754,990.844035930363
0.15,0.008352165801735598,960.3868471422252
0.15,0.01017088652555093,1169.515293971462
0.2,0.010179372581361484,1170.4910763706664
0.2,0.010857423183506439,1248.4577853004103
0.2,0.010931057421251755,1256.9247332883501
0.2,0.010138523737866952,1165.7940082156056
0.2,0.012009351783174523,1380.914096900247
0.25,0.010407856922584797,1196.7637056859546
0.25,0.010442232456173643,1200.7164301775304
0.25,0.012060725952310386,1386.8214360853349
0.25,0.009892409668893015,1137.4941970827726
0.25,0.008214314946774458,944.5358509916842
0.3,0.011950254487975853,1374.1187019861889
0.3,0.010293409008228116,1183.6037332620144
0.3,0.010771275352573259,1238.5519422290402
0.3,0.014858136212888258,1708.4860299277382
0.3,0.013193044731304946,1517.0228817861064
0.35,0.013080032153986709,1504.0279538363375
0.35,0.014197434145063715,1632.5141693491914
0.35,0.011401518199875166,1311.0214016988748
0.35,0.011166182698317324,1283.9609809975996
0.35,0.01019292568770401,1172.0495014999397
0.4,0.01677672452263049,1929.0979073134074
0.4,0.01263157688877267,1452.46162380087
0.4,0.015483452779638886,1780.3890333238924
0.4,0.015282992012614764,1757.3387385155681
0.4,0.01464507904258556,1683.9873179881915
0.45,0.015588156689197984,1792.428576116976
0.45,0.013194943349963873,1517.2411974219615
0.45,0.012066553744518036,1387.491553886749
0.45,0.011842328377034056,1361.7086493277302
0.45,0.014095246207191051,1620.7639294953444
