objId,time,fx,fy,fz,Tx,Ty,Tz
0,1.999687,3906.883545,1108.613037,-2620.718506,-30435.535156,32357.212891,-563079.937500
0,3.999687,5770.111328,2966.375977,-1154.402466,-44721.394531,7871.331055,-655393.250000
0,5.999687,3988.442139,4541.160156,-1550.364258,-44991.746094,-4928.312500,-673066.937500
0,7.999687,6279.894531,1714.120361,-923.487732,-37289.683594,-20072.419922,-663391.750000
0,9.999687,5856.156738,5913.971680,-1426.072632,-41086.726562,-32272.687500,-672991.062500
0,11.999687,1268.642456,5693.761230,22.410107,-25005.648438,-42879.273438,-688127.437500
0,13.999687,270.325592,8892.088867,1667.515259,-37922.515625,-39252.363281,-684392.500000
0,15.999687,-1498.299316,6740.646973,-154.813889,-13954.962891,-41551.640625,-677481.250000
0,17.999687,-866.158264,4002.228760,-110.757965,-17835.488281,-47280.535156,-670298.812500
0,19.999687,-3778.252441,5795.669922,-1123.196411,7470.433594,-41326.812500,-658076.812500
0,21.999687,-2060.065186,2562.870850,116.738800,15330.946289,-38962.164062,-659856.687500
0,23.999687,-4653.645996,4806.403320,-794.521667,10731.155273,-48576.699219,-664115.687500
0,25.999687,-4883.305176,1992.380981,-361.451202,8167.365723,-48848.359375,-649194.187500
0,27.999687,-5758.185547,73.546417,-133.075607,29741.597656,-30295.769531,-651257.812500
0,29.999687,-5743.568359,759.608276,468.641144,36996.781250,-30588.814453,-664941.250000
0,31.999687,-8091.502930,-379.611633,459.780853,41355.480469,-25946.710938,-653870.812500
0,33.999687,-5830.863770,-1938.123169,-1691.406128,41641.273438,-11804.471680,-673090.000000
0,35.999687,-3086.459961,-2751.163086,-655.548828,44284.703125,-5626.305176,-649750.750000
0,37.999687,-5281.611816,-5686.411133,566.964722,45924.878906,-2011.353027,-649067.187500
0,39.999687,-4495.342285,-5373.848633,-212.283478,44050.273438,11206.615234,-671922.875000
