a,rdimless,rdim
0.01,0.7718029333675059,7.71802933367506
0.01,0.7713185203667811,7.713185203667811
0.01,0.7730892077125063,7.730892077125064
0.01,0.7662233841177606,7.662233841177606
0.01,0.7694804496162431,7.694804496162431
0.025,0.766405277412211,7.66405277412211
0.025,0.7647093412716924,7.6470934127169246
0.025,0.7697598271927162,7.697598271927162
0.025,0.7597288854291384,7.597288854291384
0.025,0.7641674895652179,7.641674895652178
0.05,0.7527635642263604,7.527635642263604
0.05,0.751631603128061,7.51631603128061
0.05,0.7621953092957896,7.621953092957896
0.05,0.7458516069106355,7.458516069106356
0.05,0.7537045730548774,7.5370457305487735
0.0,0.7728722305138286,7.7287223051382865
0.0,0.7733936063477083,7.733936063477082
0.0,0.7749302882587727,7.7493028825877275
0.0,0.7689408102492595,7.689408102492596
0.0,0.7727134395475228,7.727134395475228
0.1,0.5872807527157636,5.8728075271576365
0.1,0.7269823934320894,7.269823934320894
0.1,0.684036820801716,6.840368208017161
0.1,0.7184727371004691,7.1847273710046915
0.1,0.7215140723989523,7.215140723989522
0.2,0.5797478395684412,5.797478395684412
0.2,0.6116599400881837,6.116599400881837
0.2,0.48820958493156547,4.882095849315655
0.2,0.5390714179707805,5.390714179707805
0.2,0.6501619105344412,6.501619105344411
0.4,0.4654721246709209,4.65472124670921
0.4,0.45195212870329304,4.519521287032931
0.4,0.34779407333887974,3.4779407333887975
0.4,0.3278905556520583,3.2789055565205834
0.4,0.3966715697214364,3.9667156972143647
0.8,0.2311451404071702,2.3114514040717022
0.8,0.2955495855904727,2.9554958559047266
0.8,0.21659065690365262,2.1659065690365265
0.8,0.2976715179775687,2.9767151797756872
0.8,0.20316667442689645,2.0316667442689647
12.8,0.34117225587599126,3.4117225587599127
12.8,0.28820880457791287,2.8820880457791285
12.8,0.28180365849239297,2.81803658492393
12.8,0.25165134592759053,2.5165134592759055
12.8,0.2804298435425625,2.804298435425625
1.6,0.13354001403189472,1.3354001403189473
1.6,0.10500381493422074,1.0500381493422075
1.6,0.13302586691216117,1.3302586691216116
1.6,0.10264616969992452,1.0264616969992453
1.6,0.1284590049797854,1.2845900497978542
25.6,0.2840806429577946,2.8408064295779463
25.6,0.28439799428470003,2.843979942847
25.6,0.32264684645200187,3.226468464520019
25.6,0.26455829837917083,2.645582983791708
25.6,0.32291612284552884,3.2291612284552884
3.2,0.1180538295884794,1.180538295884794
3.2,0.07866071948998636,0.7866071948998637
3.2,0.10746584941908899,1.0746584941908899
3.2,0.07018874655175977,0.7018874655175977
3.2,0.0986277500519109,0.9862775005191091
6.4,0.22199046263679045,2.2199046263679048
6.4,0.2631839989801267,2.631839989801267
6.4,0.24910869843306335,2.4910869843306336
6.4,0.18296010041423333,1.8296010041423334
6.4,0.18685864594167115,1.8685864594167114
