Ht,theta
0.05,0.14266372884608147
0.05,0.1199022369699956
0.05,0.1431775780491991
0.05,0.14388946639605732
0.05,0.12849954137877861
0.1,0.09744853608489122
0.1,0.10837992120953278
0.1,0.1088341073939671
0.1,0.1038744404642743
0.1,0.09710982190174154
0.15,0.09381484822039775
0.15,0.07157410039937728
0.15,0.0855956451103013
0.15,0.08796431722569219
0.15,0.08241597981070516
0.2,0.07133485295653423
0.2,0.07745597925192506
0.2,0.07545730807976793
0.2,0.0663289642640674
0.2,0.06718477967925185
0.25,0.06684992699886502
0.25,0.06652388675231605
0.25,0.05989728337052512
0.25,0.0594643897990312
0.25,0.05968710227442193
0.3,0.062260050789736905
0.3,0.059458504609963436
0.3,0.058775329956217606
0.3,0.05521477588730312
0.3,0.05738550670032121
0.35,0.05817869656638986
0.35,0.05862462148177271
0.35,0.057238064438571726
0.35,0.05599921175138999
0.35,0.05489942778113029
0.4,0.05112096552478452
0.4,0.05643277548264555
0.4,0.05509899175088229
0.4,0.05490512241864517
0.4,0.055964275194262725
0.45,0.05236314536271331
0.45,0.05247562235011765
0.45,0.05885574466835046
0.45,0.053786445618796475
0.45,0.05202802723889612
0.0,0.12649373977596445
