a,rdimless,rdim
0.01,0.32049608714111594,3.204960871411159
0.01,0.38386019307868907,3.838601930786891
0.01,0.20981299596976302,2.0981299596976304
0.01,0.15644621405096312,1.5644621405096313
0.01,0.13985919118537646,1.3985919118537646
0.025,0.3162527287607113,3.1625272876071135
0.025,0.3294962488651602,3.2949624886516027
0.025,0.15571041486557574,1.5571041486557575
0.025,0.21490710563681278,2.149071056368128
0.025,0.1820391148094874,1.8203911480948738
0.05,0.30037871573245134,3.0037871573245134
0.05,0.2949606131905686,2.949606131905686
0.05,0.21081905945434465,2.1081905945434465
0.05,0.1880053717296012,1.8800537172960121
0.05,0.16423940107085816,1.6423940107085815
0.0,0.26522408407900894,2.6522408407900895
0.0,0.4116206534717922,4.116206534717922
0.0,0.17310967007129782,1.7310967007129783
0.0,0.250428761313194,2.5042876131319405
0.0,0.13618157668478575,1.3618157668478574
0.1,0.23338152361158157,2.3338152361158158
0.1,0.30199292741322314,3.0199292741322314
0.1,0.1744805613262012,1.7448056132620122
0.1,0.19012720354005325,1.9012720354005326
0.1,0.11710429866365268,1.1710429866365268
0.2,0.19110302485343914,1.9110302485343913
0.2,0.15736213354063774,1.5736213354063775
0.2,0.11241988984827624,1.1241988984827624
0.2,0.09006262597568374,0.9006262597568373
0.2,0.10744812587814798,1.0744812587814798
0.4,0.22481480851922445,2.2481480851922444
0.4,0.10284243905213056,1.0284243905213055
0.4,0.09090817710339832,0.9090817710339832
0.4,0.15877153986076786,1.5877153986076789
0.4,0.12088274631136949,1.2088274631136948
0.8,0.17003263656272824,1.7003263656272822
0.8,0.08749961351276808,0.8749961351276808
0.8,0.051738760425855145,0.5173876042585515
0.8,0.06051753490092715,0.6051753490092715
0.8,0.09558711997474455,0.9558711997474454
12.8,0.2768310792833472,2.7683107928334723
12.8,0.2616239683206917,2.616239683206917
12.8,0.31133306786877213,3.1133306786877215
12.8,0.23797314449830598,2.3797314449830598
12.8,0.291967865863244,2.9196786586324404
1.6,0.0891875547299208,0.8918755472992081
1.6,0.0822127176384911,0.8221271763849111
1.6,0.039997301411359515,0.39997301411359515
1.6,0.04247703625360789,0.4247703625360789
1.6,0.09102060886392731,0.9102060886392731
25.6,0.2869836362597626,2.8698363625976255
25.6,0.2610538927409308,2.6105389274093085
25.6,0.22530735299229102,2.25307352992291
25.6,0.26368376958155576,2.6368376958155575
25.6,0.27371267323805987,2.737126732380599
3.2,0.048300839307257225,0.48300839307257226
3.2,0.06614543351770744,0.6614543351770744
3.2,0.044329273693656475,0.44329273693656474
3.2,0.038513555663547736,0.3851355566354773
3.2,0.0757698002137727,0.7576980021377271
6.4,0.22456095144909816,2.245609514490982
6.4,0.2115211697243646,2.115211697243646
6.4,0.19858330728981735,1.9858330728981737
6.4,0.21580845328939988,2.158084532893999
6.4,0.2091171601695153,2.091171601695153
