a,vdimless,vdim
0.01,0.06226330047082186,5873.295031148725
0.01,0.05999119642830604,5658.967533533741
0.01,0.0680565338303011,6419.770538345128
0.01,0.06820651034084683,6433.917817521086
0.01,0.06818922476532696,6432.287269765929
0.025,0.06291268015494982,5934.550994826798
0.025,0.0639824966108833,6035.4667449936205
0.025,0.06871676369372638,6482.049999069973
0.025,0.06777941917334757,6393.630322111227
0.025,0.06776623497906258,6392.386657509475
0.05,0.06370904625371854,6009.672182035073
0.05,0.06481908074009451,6114.381697655611
0.05,0.06811340345822542,6425.135048427078
0.05,0.06769889594011537,6386.034568239227
0.05,0.06655579851670722,6278.206226884785
0.0,0.06615713383749239,6240.600201155002
0.0,0.05741147217156967,5415.62223149785
0.0,0.06857074613909209,6468.276168071469
0.0,0.0668269627074742,6303.78513584422
0.0,0.0676825263438409,6384.490424775363
0.1,0.06657094139178045,6279.634653779158
0.1,0.06464370117487196,6097.838149189699
0.1,0.06868998686125609,6479.524141367145
0.1,0.06747468443954907,6364.884704961107
0.1,0.06868401594263777,6478.960904815482
0.2,0.06751309414590949,6368.507891265216
0.2,0.06853372950449285,6464.784390179557
0.2,0.06903827991326753,6512.378613203585
0.2,0.06940405813827308,6546.8824608181885
0.2,0.0686615184928533,6476.83872113692
0.4,0.06581265349442157,6208.105382024198
0.4,0.06920842623254497,6528.42850975619
0.4,0.06935525862359025,6542.2792042458295
0.4,0.06619079043139937,6243.775026521862
0.4,0.06884840333792831,6494.467562262847
0.8,0.06767343534360662,6383.632871030211
0.8,0.06880862180985875,6490.714972063232
0.8,0.0696504151139463,6570.121306015424
0.8,0.069498724296188,6555.812316297986
0.8,0.0691248631192985,6520.546004105084
12.8,0.05703554073484653,5380.16063176474
12.8,0.05811207902126082,5481.710451973861
12.8,0.05288836185068263,4988.957387647296
12.8,0.057623968983161224,5435.667048560519
12.8,0.055517566896559116,5236.970210852099
1.6,0.06935297723253546,6542.064000704659
1.6,0.06685446502634651,6306.3794286548555
1.6,0.06962102740290332,6567.349164224988
1.6,0.06969330175815759,6574.166801715846
1.6,0.0684260643604897,6454.628340780956
25.6,0.05384599023139973,5079.290440466885
25.6,0.05251714197214608,4953.940229038845
25.6,0.053665136730777524,5062.230535859548
25.6,0.05511757877851111,5199.239345181868
25.6,0.05585626600408242,5268.9196862289045
3.2,0.0684826212397405,6459.9633492910925
3.2,0.06642976728197694,6266.317704768008
3.2,0.06972828629478552,6577.466891874737
3.2,0.06817079092252544,6430.548405996863
3.2,0.06833576811652517,6446.110699136552
6.4,0.06313300859987439,5955.334569597344
6.4,0.060252574708103065,5683.623337841794
6.4,0.06250514963775276,5896.108654899499
6.4,0.059606978984001656,5622.724314985262
6.4,0.06249773785770425,5895.409501937775
