f,theta
0.1,1.5165269716810335
0.2,1.063693661075409
0.3,0.6466033585519714
0.4,0.475493030246199
0.5,0.2599406254080255
0.6,0.16211672342821415
0.7,0.15817941801677793
0.8,0.12063229636783594
0.9,0.15118138445339596
1.0,0.12420116396855807
